acquisition	objective	run_id	time_per_iteration	implementation
ei	ros	41	0.8238362232844035	DiceOptim
ei	ros	42	0.8029579718907675	DiceOptim
ei	ros	43	0.3472864707310995	DiceOptim
ei	ros	44	0.8968057791392009	DiceOptim
ei	ros	45	0.8683535019556682	DiceOptim
ei	ros	46	0.8313260952631633	DiceOptim
ei	ros	47	0.8476326942443848	DiceOptim
ei	ros	48	0.8418994426727295	DiceOptim
ei	ros	49	0.8483843644460042	DiceOptim
ei	ros	50	0.47609581152598063	DiceOptim
ei	ros	51	0.8344129085540771	DiceOptim
ei	ros	52	0.8218495607376098	DiceOptim
ei	ros	53	0.8709780454635621	DiceOptim
ei	ros	54	0.8448889493942261	DiceOptim
ei	ros	55	0.3756337483723958	DiceOptim
ei	ros	56	0.8555111885070801	DiceOptim
ei	ros	57	0.35977725982666015	DiceOptim
ei	ros	58	0.9201173623402913	DiceOptim
ei	ros	59	0.8009942849477132	DiceOptim
ei	ros	60	0.8597915887832641	DiceOptim
ei	ros	61	0.8392582893371582	DiceOptim
ei	ros	62	0.896651562054952	DiceOptim
ei	ros	63	0.8750072320302328	DiceOptim
ei	ros	64	0.877980399131775	DiceOptim
ei	ros	65	0.835993488629659	DiceOptim
ei	ros	66	0.8194407939910888	DiceOptim
ei	ros	67	0.9127850294113159	DiceOptim
ei	ros	68	0.50608062744140625	DiceOptim
ei	ros	69	0.8433216571807861	DiceOptim
ei	ros	70	0.8526359717051188	DiceOptim
ei	ros	71	0.8694508870442709	DiceOptim
ei	ros	72	0.8821617126464844	DiceOptim
ei	ros	73	0.8490204970041911	DiceOptim
ei	ros	74	0.8700385014216105	DiceOptim
ei	ros	75	0.8004516124725342	DiceOptim
ei	ros	76	0.8735945065816243	DiceOptim
ei	ros	77	0.8707766691843669	DiceOptim
ei	ros	78	0.6833422978719076	DiceOptim
ei	ros	79	0.8629255930582682	DiceOptim
ei	ros	80	0.7884753068288167	DiceOptim
ei	ros	81	0.8593339125315348	DiceOptim
ei	ros	82	0.7785142183303833	DiceOptim
ei	ros	83	0.8369001229604085	DiceOptim
ei	ros	84	0.8711785236994426	DiceOptim
ei	ros	85	0.8948718627293905	DiceOptim
ei	ros	86	0.8875787734985352	DiceOptim
ei	ros	87	0.8727243661880493	DiceOptim
ei	ros	88	0.8736165682474772	DiceOptim
ei	ros	89	0.7549426952997843	DiceOptim
ei	ros	90	0.7629010995229085	DiceOptim
ei	ros	91	0.8584092775980632	DiceOptim
ei	ros	92	0.8062609513600667	DiceOptim
ei	ros	93	0.7877401431401571	DiceOptim
ei	ros	94	0.8415549596150717	DiceOptim
ei	ros	95	0.8520197153091431	DiceOptim
ei	ros	96	0.8656866709391277	DiceOptim
ei	ros	97	0.7618851264317831	DiceOptim
ei	ros	98	0.742555570602417	DiceOptim
ei	ros	99	0.8102187474568685	DiceOptim
kg	h6	0	0.8016942262649536	DiceOptim
kg	h6	1	1.209555411338806	DiceOptim
kg	h6	2	0.8068827946980794	DiceOptim
kg	h6	3	0.8894190788269043	DiceOptim
kg	h6	4	0.7955188274383544	DiceOptim
kg	h6	5	0.7961912631988526	DiceOptim
kg	h6	6	0.8043840646743774	DiceOptim
kg	h6	7	0.801271915435791	DiceOptim
kg	h6	8	0.03836919731563992	DiceOptim
kg	h6	9	0.8315533558527629	DiceOptim
kg	h6	10	1.5099076747894287	DiceOptim
kg	h6	11	0.057908097902933754	DiceOptim
kg	h6	12	0.7777814229329427	DiceOptim
kg	h6	13	0.8481541156768799	DiceOptim
kg	h6	14	1.4149263858795167	DiceOptim
kg	h6	15	1.3885485728581746	DiceOptim
kg	h6	16	0.8599276860555013	DiceOptim
kg	h6	17	0.7961477677027384	DiceOptim
kg	h6	18	0.8043981552124023	DiceOptim
kg	h6	19	1.128773562113444	DiceOptim
kg	h6	20	0.9231570641199748	DiceOptim
kg	h6	21	0.047805409828821824	DiceOptim
kg	h6	22	1.0658827781677247	DiceOptim
kg	h6	23	0.9905746539433797	DiceOptim
kg	h6	24	0.7904713312784831	DiceOptim
kg	h6	25	0.7985517501831054	DiceOptim
kg	h6	26	0.8442355314890544	DiceOptim
kg	h6	27	0.05290260752042134	DiceOptim
kg	h6	28	1.1573790947596232	DiceOptim
kg	h6	29	0.8518803437550863	DiceOptim
kg	h6	30	0.8099732081095378	DiceOptim
kg	h6	31	0.7940704425175985	DiceOptim
kg	h6	32	0.9011238654454549	DiceOptim
kg	h6	33	0.9077811002731323	DiceOptim
kg	h6	34	0.06531862126456367	DiceOptim
kg	h6	35	1.2387227296829224	DiceOptim
kg	h6	36	0.8044663588205974	DiceOptim
kg	h6	37	1.0186061064402263	DiceOptim
kg	h6	38	1.7054299275080362	DiceOptim
kg	h6	39	0.7925403992335002	DiceOptim
kg	h6	40	1.4987318436304728	DiceOptim
kg	h6	41	0.794539213180542	DiceOptim
kg	h6	42	0.7813050190607707	DiceOptim
kg	h6	43	0.9676599343617757	DiceOptim
kg	h6	44	0.7944393634796143	DiceOptim
kg	h6	45	1.0875345150629678	DiceOptim
kg	h6	46	0.059065017567740546	DiceOptim
kg	h6	47	0.7994974374771118	DiceOptim
kg	h6	48	0.9448153098424276	DiceOptim
kg	h6	49	0.8995627800623576	DiceOptim
kg	h6	50	1.004766853650411	DiceOptim
kg	h6	51	0.7842248121897379	DiceOptim
kg	h6	52	0.8968157132466634	DiceOptim
kg	h6	53	0.8326119263966878	DiceOptim
kg	h6	54	1.2121205568313598	DiceOptim
kg	h6	55	0.9602831919987996	DiceOptim
kg	h6	56	0.791342298189799	DiceOptim
kg	h6	57	0.7984019994735718	DiceOptim
kg	h6	58	0.056468440426720515	DiceOptim
kg	h6	59	0.7899116436640422	DiceOptim
kg	h6	60	0.9962552547454834	DiceOptim
kg	h6	61	0.03595599108272129	DiceOptim
kg	h6	62	0.7945869525273641	DiceOptim
kg	h6	63	1.4381864706675211	DiceOptim
kg	h6	64	0.8020887772242228	DiceOptim
kg	h6	65	0.060019142892625596	DiceOptim
kg	h6	66	1.119822883605957	DiceOptim
kg	h6	67	1.1332816044489542	DiceOptim
kg	h6	68	1.3760656197865804	DiceOptim
kg	h6	69	0.8947619199752808	DiceOptim
kg	h6	70	0.9325916528701782	DiceOptim
kg	h6	71	1.0030747493108114	DiceOptim
kg	h6	72	0.7845722198486328	DiceOptim
kg	h6	73	0.885036317507426	DiceOptim
kg	h6	74	0.06356807655758329	DiceOptim
kg	h6	75	0.8642593860626221	DiceOptim
kg	h6	76	0.7808247884114583	DiceOptim
kg	h6	77	0.7891605854034424	DiceOptim
kg	h6	78	0.7886209487915039	DiceOptim
kg	h6	79	0.923185141881307	DiceOptim
kg	h6	80	0.8393338282903036	DiceOptim
kg	h6	81	1.452759869893392	DiceOptim
kg	h6	82	0.7891752481460571	DiceOptim
kg	h6	83	0.8390107075373332	DiceOptim
kg	h6	84	0.7930242379506429	DiceOptim
