acquisition	objective	run_id	time_per_iteration	implementation
ei	h6	77	0.0831479664426297	BoTorch
ei	h6	78	0.06314901496904592	BoTorch
ei	h6	79	0.06431073859954874	BoTorch
ei	h6	80	0.06452822436889012	BoTorch
ei	h6	81	0.0704398490022868	BoTorch
ei	h6	82	0.07076807742317517	BoTorch
ei	h6	83	0.08121218720140556	BoTorch
ei	h6	84	0.07088676335600515	BoTorch
ei	h6	85	0.0644590325653553	BoTorch
ei	h6	86	0.06580473443803687	BoTorch
ei	h6	87	0.06626619906164706	BoTorch
ei	h6	88	0.06545727403524021	BoTorch
ei	h6	89	0.08313733655959368	BoTorch
ei	h6	90	0.06971123446710407	BoTorch
ei	h6	91	0.0754286421307673	BoTorch
ei	h6	92	0.07407861948013306	BoTorch
ei	h6	93	0.07071411106735467	BoTorch
ei	h6	94	0.07194018876180053	BoTorch
ei	h6	95	0.07136019879641632	BoTorch
ei	h6	96	0.06312907760341963	BoTorch
ei	h6	97	0.0673423321917653	BoTorch
ei	h6	98	0.05651708223546545	BoTorch
ei	h6	99	0.0771001768608888	BoTorch
ei	gp	0	0.07325953252923985	BoTorch
ei	gp	1	0.07433183604540924	BoTorch
ei	gp	2	0.07080400146854421	BoTorch
ei	gp	3	0.075645771700268	BoTorch
ei	gp	4	0.07210971452295781	BoTorch
ei	gp	5	0.07201401797744135	BoTorch
ei	gp	6	0.06555992909707128	BoTorch
ei	gp	7	0.0699841113295406	BoTorch
ei	gp	8	0.07676384452109536	BoTorch
ei	gp	9	0.07803533069478968	BoTorch
ei	gp	10	0.07196374389653405	BoTorch
ei	gp	11	0.07256093576240043	BoTorch
ei	gp	12	0.07563888303314646	BoTorch
ei	gp	13	0.07090386749866108	BoTorch
ei	gp	14	0.07050009872764348	BoTorch
ei	gp	15	0.08064902432573338	BoTorch
ei	gp	16	0.07189241033047437	BoTorch
ei	gp	17	0.06789003686668972	BoTorch
ei	gp	18	0.08554506826524934	BoTorch
ei	gp	19	0.0754339105449617	BoTorch
ei	gp	20	0.07730621563581129	BoTorch
ei	gp	21	0.07233863797349234	BoTorch
ei	gp	22	0.07262415142419437	BoTorch
ei	gp	23	0.07418801186916729	BoTorch
ei	gp	24	0.07089718367593983	BoTorch
ei	gp	25	0.07911928603425622	BoTorch
ei	gp	26	0.07079797183784346	BoTorch
ei	gp	27	0.06966605647467077	BoTorch
ei	gp	28	0.07903788837914666	BoTorch
ei	gp	29	0.07398013160564006	BoTorch
