implementation	objective	acquisition	trial	gap_estimate	gap_se
BoTorch	gp	ei	24	0.8327675235271453	0.011478400574039704
BoTorch	gp	ei	25	0.8341152483224868	0.011431465831676051
BoTorch	gp	ei	26	0.8367422521114349	0.011474914869732586
BoTorch	gp	ei	27	0.8382612907886505	0.011440550307108464
BoTorch	gp	ei	28	0.8416454231739045	0.011185821862347449
BoTorch	gp	ei	29	0.8416454231739045	0.011185821862347449
BoTorch	ros	ei	0	0.8203331881761551	0.02771746242554099
BoTorch	ros	ei	1	0.9356161683797837	0.01758773870157976
BoTorch	ros	ei	2	0.9404061281681061	0.01745717351834103
BoTorch	ros	ei	3	0.9460458868741989	0.01732718600426365
BoTorch	ros	ei	4	0.9476344555616378	0.017293007393909796
BoTorch	ros	ei	5	0.9482802815921605	0.017214402637010434
BoTorch	ros	ei	6	0.9500449992902577	0.017192717764450617
BoTorch	ros	ei	7	0.9524578507430852	0.017119043618982345
BoTorch	ros	ei	8	0.9529695536382496	0.01710693446735497
BoTorch	ros	ei	9	0.9530870415456593	0.017109925353470903
BoTorch	ros	ei	10	0.9605590099096298	0.014800481127009976
BoTorch	ros	ei	11	0.960628389120102	0.014801944283165456
BoTorch	ros	ei	12	0.9611189520359039	0.014794522723230188
BoTorch	ros	ei	13	0.9617388468980789	0.01479775372028477
BoTorch	ros	ei	14	0.9619366818666458	0.014802116894478985
BoTorch	ros	ei	15	0.9622184383869171	0.014806060956102254
BoTorch	ros	ei	16	0.9625391286611557	0.014799393242431064
BoTorch	ros	ei	17	0.9625680994987488	0.014799995969262875
BoTorch	ros	ei	18	0.9628057044744491	0.014802641841870906
BoTorch	ros	ei	19	0.9630038446187973	0.014803650754378108
BoTorch	ros	ei	20	0.9630463480949402	0.014804371871401814
BoTorch	ros	ei	21	0.963377652168274	0.014805068109219329
BoTorch	ros	ei	22	0.9634191882610321	0.014805937280104287
BoTorch	ros	ei	23	0.9634702122211456	0.014807033225662816
BoTorch	ros	ei	24	0.9634702122211456	0.014807033225662816
BoTorch	ros	ei	25	0.9634726333618164	0.014807090542996827
BoTorch	ros	ei	26	0.9634726333618164	0.014807090542996827
BoTorch	ros	ei	27	0.9635153943300248	0.01480804118806046
BoTorch	ros	ei	28	0.9636972659826278	0.014809038803768026
BoTorch	ros	ei	29	0.9637422311306	0.014810050953192388
BoTorch	h6	kg	0	0.2699617564678192	0.01740082250311915
BoTorch	h6	kg	1	0.29734933421947063	0.01809050544991184
BoTorch	h6	kg	2	0.3267258125683293	0.01875473109202142
BoTorch	h6	kg	3	0.35935589091852305	0.018885577398449295
BoTorch	h6	kg	4	0.39048472709953785	0.01911924123897482
BoTorch	h6	kg	5	0.4208862386643887	0.019841905254744965
BoTorch	h6	kg	6	0.45202527422457933	0.01984941428274022
BoTorch	h6	kg	7	0.5042152308300137	0.021120307513054003
BoTorch	h6	kg	8	0.5614800694957376	0.020755016177125798
BoTorch	h6	kg	9	0.6068685350567102	0.021439611612892834
BoTorch	h6	kg	10	0.6537812618911266	0.02073870931350518
BoTorch	h6	kg	11	0.6900459659099579	0.02007922747870239
BoTorch	h6	kg	12	0.7251817443966866	0.01934225173121947
BoTorch	h6	kg	13	0.757170241624117	0.018664258224405948
BoTorch	h6	kg	14	0.7883339361846446	0.017768008756081165
BoTorch	h6	kg	15	0.8136597943305969	0.01633492370736968
BoTorch	h6	kg	16	0.8352305793762207	0.015092447347663582
BoTorch	h6	kg	17	0.8582546737790108	0.014530672951710793
BoTorch	h6	kg	18	0.8765710493922234	0.013937042990859854
BoTorch	h6	kg	19	0.8921215835213662	0.012619583761890716
BoTorch	h6	kg	20	0.9003498271107674	0.012245538833509028
BoTorch	h6	kg	21	0.9163789811730385	0.010630141127384586
BoTorch	h6	kg	22	0.9272736388444901	0.009263028355458154
BoTorch	h6	kg	23	0.9317303758859634	0.008972363504949713
BoTorch	h6	kg	24	0.9374515974521637	0.007800089664480712
BoTorch	h6	kg	25	0.941951466202736	0.007495103863325851
BoTorch	h6	kg	26	0.9459906095266342	0.006964301221585932
BoTorch	h6	kg	27	0.9515055084228515	0.005963007648665518
BoTorch	h6	kg	28	0.9556917130947113	0.00524592096669378
BoTorch	h6	kg	29	0.9601884704828262	0.004857579118733232
BoTorch	gp	kg	0	0.40282892422750594	0.023988678165386003
BoTorch	gp	kg	1	0.4318244478106499	0.024890882010928518
BoTorch	gp	kg	2	0.47070121138356624	0.024860297037669038
BoTorch	gp	kg	3	0.5118091494683177	0.02522548043934763
BoTorch	gp	kg	4	0.5378682597819716	0.0247222787442588
BoTorch	gp	kg	5	0.5557113589439541	0.02410707383910987
BoTorch	gp	kg	6	0.5724981929454952	0.024762895725991278
BoTorch	gp	kg	7	0.5888894171034917	0.02405406152141625
BoTorch	gp	kg	8	0.6081630846904591	0.02255902736080693
BoTorch	gp	kg	9	0.6240121521102264	0.02176742192271709
BoTorch	gp	kg	10	0.6440461559640244	0.02195654729507311
BoTorch	gp	kg	11	0.6745298377843574	0.019443142753241403
BoTorch	gp	kg	12	0.6976203925581649	0.019553427357149333
BoTorch	gp	kg	13	0.7106408246234059	0.019645101555488133
BoTorch	gp	kg	14	0.7214275576546788	0.0190091877456223
BoTorch	gp	kg	15	0.739701422341168	0.01885397245807036
BoTorch	gp	kg	16	0.7584523402526975	0.018630976428430722
BoTorch	gp	kg	17	0.7668697233870625	0.01869684628537055
BoTorch	gp	kg	18	0.7829653510451317	0.01685132750299883
BoTorch	gp	kg	19	0.7955770391225815	0.016579047801619735
